"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","y6","y7","y8","y9","y10","PriAges"
"67","Sagaing","Sagaing","AREA # 050101","Sagaing","MMR005001","Sagaing","Sagaing",1,2,1,0,0,4
"68","Sagaing","Sagaing","AREA # 050102","Myinmu","MMR005002","Myinmu","Myinmu",0,0,1,0,0,1
"69","Sagaing","Sagaing","AREA # 050103","Myaung","MMR005003","Myaung","Myaung",0,0,0,0,0,0
"70","Sagaing","Shwebo","AREA # 050201","Shwebo","MMR005004","Shwebo","Shwebo",0,0,0,1,1,2
"71","Sagaing","Shwebo","AREA # 050251","Kyaukmyaung(ST)","MMR005004","Shwebo","Kyaukmyaung(ST)",0,0,0,0,1,1
"72","Sagaing","Shwebo","AREA # 050202","Khin U","MMR005005","Khin-U","Khin U",0,0,1,0,0,1
"73","Sagaing","Shwebo","AREA # 050203","Wetlet","MMR005006","Wetlet","Wetlet",NA,NA,NA,NA,NA,0
"74","Sagaing","Shwebo","AREA # 050204","Kambalu","MMR005007","Kanbalu","Kambalu",0,2,0,2,1,5
"75","Sagaing","Shwebo","AREA # 050205","Kyunhlau","MMR005008","Kyunhla","Kyunhlau",1,0,0,0,0,1
"76","Sagaing","Shwebo","AREA # 050206","Ye U","MMR005009","Ye-U","Ye U",0,0,0,0,0,0
"77","Sagaing","Shwebo","AREA # 050207","Depayin","MMR005010","Tabayin","Depayin",0,0,0,0,0,0
"78","Sagaing","Shwebo","AREA # 050208","Tasei","MMR005011","Taze","Tasei",1,0,1,1,0,3
"79","Sagaing","Monywa","AREA # 050301","Monywa","MMR005012","Monywa","Monywa",0,1,0,2,1,4
"80","Sagaing","Monywa","AREA # 050302","Butalin","MMR005013","Budalin","Butalin",0,0,0,0,0,0
"81","Sagaing","Monywa","AREA # 050303","Ayartaw","MMR005014","Ayadaw","Ayartaw",0,0,0,0,0,0
"82","Sagaing","Monywa","AREA # 050304","Chaung Oo","MMR005015","Chaung-U","Chaung Oo",0,0,0,1,0,1
"83","Sagaing","Yinmarpin","AREA # 050901","Yinmarpin","MMR005016","Yinmarbin","Yinmarpin",0,0,0,0,0,0
"84","Sagaing","Yinmarpin","AREA # 050904","Kani","MMR005017","Kani","Kani",1,0,1,0,1,3
"85","Sagaing","Yinmarpin","AREA # 050902","Salingyi","MMR005018","Salingyi","Salingyi",0,0,0,0,0,0
"86","Sagaing","Yinmarpin","AREA # 050903","Palae","MMR005019","Pale","Palae",1,0,0,1,0,2
"87","Sagaing","Katha","AREA # 050401","Katha","MMR005020","Katha","Katha",0,0,0,1,2,3
"88","Sagaing","Katha","AREA # 050402","Indaw","MMR005021","Indaw","Indaw",0,0,0,0,0,0
"89","Sagaing","Katha","AREA # 050403","Tigyaing","MMR005022","Tigyaing","Tigyaing",NA,NA,NA,NA,NA,0
"90","Sagaing","Katha","AREA # 050404","Banmauk","MMR005023","Banmauk","Banmauk",NA,NA,NA,NA,NA,0
"91","Sagaing","Katha","AREA # 050405","Kawlin","MMR005024","Kawlin","Kawlin",0,1,1,0,0,2
"92","Sagaing","Katha","AREA # 050406","Wuntho","MMR005025","Wuntho","Wuntho",0,1,0,0,0,1
"93","Sagaing","Katha","AREA # 050407","Pinlebu","MMR005026","Pinlebu","Pinlebu",NA,NA,NA,NA,NA,0
"94","Sagaing","Kalay","AREA # 050501","Kalay","MMR005027","Kale","Kalay",1,1,2,2,1,7
"95","Sagaing","Kalay","AREA # 050502","Kalewa","MMR005028","Kalewa","Kalewa",1,0,0,0,0,1
"96","Sagaing","Kalay","AREA # 050503","Mingin","MMR005029","Mingin","Mingin",0,0,0,0,0,0
"97","Sagaing","Tamu","AREA # 050601","Tamu","MMR005030","Tamu","Tamu",0,0,0,0,0,0
"98","Sagaing","Tamu","AREA # 050651","Myothit(ST)","MMR005030","Tamu","Myothit(ST)",NA,NA,NA,NA,NA,0
"99","Sagaing","Tamu","AREA # 050652","Khampat(ST)","MMR005030","Tamu","Khampat(ST)",0,0,0,0,0,0
"100","Sagaing","Mawlaik","AREA # 050701","Mawlaik","MMR005031","Mawlaik","Mawlaik",0,0,0,0,1,1
"101","Sagaing","Mawlaik","AREA # 050702","Phaungpyin","MMR005032","Paungbyin","Phaungpyin",1,0,0,0,1,2
"102","Sagaing","Hkamti","AREA # 050801","Hkamti","MMR005033","Hkamti","Hkamti",0,0,0,0,0,0
"103","Sagaing","Hkamti","AREA # 050802","Homalin","MMR005034","Homalin","Homalin",0,0,0,1,0,1
"104","Sagaing","Hkamti","AREA # 050803","Leshi","MMR005035","Lay Shi","Leshi",NA,NA,NA,NA,NA,0
"105","Sagaing","Hkamti","AREA # 050851","Mobaingluk(ST)","MMR005035","Lay Shi","Mobaingluk(ST)",NA,NA,NA,NA,NA,0
"106","Sagaing","Hkamti","AREA # 050852","Sonemara(ST)","MMR005035","Lay Shi","Sonemara(ST)",NA,NA,NA,NA,NA,0
"107","Sagaing","Hkamti","AREA # 050804","Lahe","MMR005036","Lahe","Lahe",0,0,1,0,0,1
"108","Sagaing","Hkamti","AREA # 050853","Htanparkway(ST)","MMR005036","Lahe","Htanparkway(ST)",NA,NA,NA,NA,NA,0
"109","Sagaing","Hkamti","AREA # 050805","Nanyun","MMR005037","Nanyun","Nanyun",NA,NA,NA,NA,NA,0
"110","Sagaing","Hkamti","AREA # 050854","Pansaung(ST)","MMR005037","Nanyun","Pansaung(ST)",0,0,0,1,0,1
"111","Sagaing","Hkamti","AREA # 050855","Donhee(ST)","MMR005037","Nanyun","Donhee(ST)",NA,NA,NA,NA,NA,0
"112","Tanintharyi","Dawei","AREA # 060151","Myitta(ST)","MMR006001","Dawei","Myitta(ST)",0,0,1,0,0,1
"113","Tanintharyi","Dawei","AREA # 060101","Dawei","MMR006001","Dawei","Dawei",0,1,0,0,0,1
"114","Tanintharyi","Dawei","AREA # 060102","Lounglon","MMR006002","Launglon","Lounglon",0,0,1,1,1,3
"115","Tanintharyi","Dawei","AREA # 060103","Thayetchaung","MMR006003","Thayetchaung","Thayetchaung",2,0,1,1,1,5
"116","Tanintharyi","Dawei","AREA # 060104","Yebyu","MMR006004","Yebyu","Yebyu",0,0,1,0,0,1
"117","Tanintharyi","Dawei","AREA # 060152","Kaleinaung(ST)","MMR006004","Yebyu","Kaleinaung(ST)",NA,NA,NA,NA,NA,0
"118","Tanintharyi","Myeik","AREA # 060201","Myeik","MMR006005","Myeik","Myeik",2,2,1,0,1,6
"119","Tanintharyi","Myeik","AREA # 060202","Kyunsu","MMR006006","Kyunsu","Kyunsu",0,1,1,0,0,2
"120","Tanintharyi","Myeik","AREA # 060251","Palauk(ST)","MMR006007","Palaw","Palauk(ST)",0,0,1,1,1,3
"121","Tanintharyi","Myeik","AREA # 060203","Palaw","MMR006007","Palaw","Palaw",0,0,1,0,0,1
"122","Tanintharyi","Myeik","AREA # 060204","Tanintharyi","MMR006008","Tanintharyi","Tanintharyi",0,0,0,3,1,4
"123","Tanintharyi","Kawthoung","AREA # 060301","Kawthoung","MMR006009","Kawthoung","Kawthoung",1,0,0,0,0,1
"124","Tanintharyi","Kawthoung","AREA # 060351","Khamaukgyi","MMR006009","Kawthoung","Khamaukgyi",NA,NA,NA,NA,NA,0
"125","Tanintharyi","Kawthoung","AREA # 060302","Bokepyin","MMR006010","Bokpyin","Bokepyin",NA,NA,NA,NA,NA,0
"126","Tanintharyi","Kawthoung","AREA # 060353","Karathuri(ST)","MMR006010","Bokpyin","Karathuri(ST)",1,1,0,0,0,2
"127","Tanintharyi","Kawthoung","AREA # 060352","Pyigyimandaing","MMR006010","Bokpyin","Pyigyimandaing",0,0,0,0,0,0
"128","Bago","Bago","AREA # 070101","Bago","MMR007001","Bago","Bago",1,1,4,0,2,8
"129","Bago","Bago","AREA # 070102","Tanatpin","MMR007002","Thanatpin","Tanatpin",0,0,0,1,0,1
"130","Bago","Bago","AREA # 070103","Kawa","MMR007003","Kawa","Kawa",0,0,0,0,1,1
"131","Bago","Bago","AREA # 070104","Waw","MMR007004","Waw","Waw",1,0,0,0,0,1
"132","Bago","Bago","AREA # 070105","Nyaunglebin","MMR007005","Nyaunglebin","Nyaunglebin",0,1,0,0,0,1
"133","Bago","Bago","AREA # 070106","Kyauktaga","MMR007006","Kyauktaga","Kyauktaga",0,1,1,1,0,3
"134","Bago","Bago","AREA # 070107","Daik U","MMR007007","Daik-U","Daik U",0,0,0,0,0,0
"135","Bago","Bago","AREA # 070108","Shwegyin","MMR007008","Shwegyin","Shwegyin",0,0,0,0,0,0
"136","Bago","Toungoo","AREA # 070201","Toungoo","MMR007009","Taungoo","Toungoo",1,1,0,1,0,3
"137","Bago","Toungoo","AREA # 070202","Yaedashe","MMR007010","Yedashe","Yaedashe",1,1,0,1,0,3
"138","Bago","Toungoo","AREA # 070203","Kyaukkyi","MMR007011","Kyaukkyi","Kyaukkyi",0,0,0,0,0,0
"139","Bago","Toungoo","AREA # 070204","Pyu","MMR007012","Phyu","Pyu",1,2,0,0,0,3
"140","Bago","Toungoo","AREA # 070205","Oatwin","MMR007013","Oktwin","Oatwin",0,0,0,0,0,0
"141","Bago","Toungoo","AREA # 070206","Htantapin","MMR007014","Htantabin","Htantapin",1,1,0,0,1,3
"142","Bago","Pyay","AREA # 070301","Pyay","MMR008001","Pyay","Pyay",0,0,0,0,0,0
"143","Bago","Pyay","AREA # 070302","Paukkhaung","MMR008002","Paukkhaung","Paukkhaung",0,0,0,0,0,0
"144","Bago","Pyay","AREA # 070303","Padaung","MMR008003","Padaung","Padaung",0,0,0,0,0,0
"145","Bago","Pyay","AREA # 070304","Paunde","MMR008004","Paungde","Paunde",0,0,0,1,0,1
"146","Bago","Pyay","AREA # 070305","Thegon","MMR008005","Thegon","Thegon",0,1,0,0,0,1
"147","Bago","Pyay","AREA # 070306","Shwedaung","MMR008006","Shwedaung","Shwedaung",0,1,0,0,1,2
"148","Bago","Tharyarwaddy","AREA # 070401","Tharyarwaddy","MMR008007","Thayarwady","Tharyarwaddy",0,0,1,0,0,1
"149","Bago","Tharyarwaddy","AREA # 070402","Letpadan","MMR008008","Letpadan","Letpadan",0,1,1,2,1,5
"150","Bago","Tharyarwaddy","AREA # 070403","Minhla","MMR008009","Minhla","Minhla",1,0,0,1,1,3
"151","Bago","Tharyarwaddy","AREA # 070404","Okpo","MMR008010","Okpho","Okpo",0,0,0,0,0,0
"152","Bago","Tharyarwaddy","AREA # 070405","Zigon","MMR008011","Zigon","Zigon",NA,NA,NA,NA,NA,0
"153","Bago","Tharyarwaddy","AREA # 070406","Nattalin","MMR008012","Nattalin","Nattalin",1,0,0,0,0,1
"154","Bago","Tharyarwaddy","AREA # 070407","Monyo","MMR008013","Monyo","Monyo",0,1,0,2,0,3
"155","Bago","Tharyarwaddy","AREA # 070408","Gyobingauk","MMR008014","Gyobingauk","Gyobingauk",1,0,0,1,1,3
"156","Magway","Magway","AREA # 080101","Magway","MMR009001","Magway","Magway",0,2,0,0,1,3
"157","Magway","Magway","AREA # 080102","Yenangyoung","MMR009002","Yenangyaung","Yenangyoung",0,0,0,0,0,0
"158","Magway","Magway","AREA # 080103","Chauk","MMR009003","Chauk","Chauk",1,0,0,1,0,2
"159","Magway","Magway","AREA # 080104","Taungdwingyi","MMR009004","Taungdwingyi","Taungdwingyi",0,0,2,1,0,3
"160","Magway","Magway","AREA # 080105","Myothit","MMR009005","Myothit","Myothit",0,0,1,0,0,1
"161","Magway","Magway","AREA # 080106","Natmauk","MMR009006","Natmauk","Natmauk",0,0,3,1,1,5
"162","Magway","Minbu","AREA # 080201","Minbu","MMR009007","Minbu","Minbu",0,0,0,0,0,0
"163","Magway","Minbu","AREA # 080202","Pwint Phyu","MMR009008","Pwintbyu","Pwint Phyu",0,0,0,1,0,1
"164","Magway","Minbu","AREA # 080203","Ngape","MMR009009","Ngape","Ngape",1,1,0,0,0,2
"165","Magway","Minbu","AREA # 080204","Salin","MMR009010","Salin","Salin",0,1,0,1,1,3
"166","Magway","Minbu","AREA # 080205","Saytottara","MMR009011","Sidoktaya","Saytottara",0,0,0,0,0,0
"167","Magway","Thayet","AREA # 080301","Thayet","MMR009012","Thayet","Thayet",0,0,0,0,2,2
"168","Magway","Thayet","AREA # 080302","Minhla","MMR009013","Minhla","Minhla",0,0,0,0,0,0
"169","Magway","Thayet","AREA # 080303","Mindon","MMR009014","Mindon","Mindon",1,0,1,0,0,2
"170","Magway","Thayet","AREA # 080304","Kamma","MMR009015","Kamma","Kamma",0,0,0,0,0,0
"171","Magway","Thayet","AREA # 080305","Aunglan","MMR009016","Aunglan","Aunglan",1,1,1,2,1,6
"172","Magway","Thayet","AREA # 080306","Sinpaungwe`","MMR009017","Sinbaungwe","Sinpaungwe`",1,1,3,0,1,6
"173","Magway","Pakokku","AREA # 080401","Pakokku","MMR009018","Pakokku","Pakokku",1,0,0,1,2,4
"174","Magway","Pakokku","AREA # 080402","Yesagyo","MMR009019","Yesagyo","Yesagyo",0,0,0,0,0,0
"175","Magway","Pakokku","AREA # 080403","Myaing","MMR009020","Myaing","Myaing",1,1,0,0,2,4
"176","Magway","Pakokku","AREA # 080404","Pauk","MMR009021","Pauk","Pauk",1,1,0,1,2,5
"177","Magway","Pakokku","AREA # 080405","Seikphyu","MMR009022","Seikphyu","Seikphyu",0,0,1,0,1,2
"178","Magway","Gangaw","AREA # 080501","Gangaw","MMR009023","Gangaw","Gangaw",0,0,0,0,0,0
"179","Magway","Gangaw","AREA # 080502","Htilin","MMR009024","Tilin","Htilin",0,0,0,2,1,3
"180","Magway","Gangaw","AREA # 080503","Saw","MMR009025","Saw","Saw",0,0,0,0,0,0
"181","Magway","Gangaw","AREA # 080551","Kyaukhtu(ST)","MMR009025","Saw","Kyaukhtu(ST)",0,1,0,0,0,1
"182","Mandalay","Mandalay","AREA # 090101","Aungmyetharzan","MMR010001","Aungmyaythazan","Aungmyetharzan",0,0,0,1,0,1
"183","Mandalay","Mandalay","AREA # 090102","Chanayeharzan","MMR010002","Chanayethazan","Chanayeharzan",0,0,0,0,0,0
"184","Mandalay","Mandalay","AREA # 090103","Mahaaungmye","MMR010003","Mahaaungmyay","Mahaaungmye",0,0,1,0,0,1
"185","Mandalay","Mandalay","AREA # 090104","Chanmyatharzi","MMR010004","Chanmyathazi","Chanmyatharzi",0,0,0,0,0,0
"186","Mandalay","Mandalay","AREA # 090105","Pyigyidagun","MMR010005","Pyigyitagon","Pyigyidagun",0,1,0,1,0,2
"187","Mandalay","Mandalay","AREA # 090106","Amarapura","MMR010006","Amarapura","Amarapura",0,0,0,0,1,1
"188","Mandalay","Mandalay","AREA # 090107","Patheingyi","MMR010007","Patheingyi","Patheingyi",1,1,0,0,1,3
"189","Mandalay","Pyin Oo Lwin","AREA # 090201","Pyin Oo Lwin","MMR010008","Pyinoolwin","Pyin Oo Lwin",0,2,0,0,0,2
"190","Mandalay","Pyin Oo Lwin","AREA # 090202","Madaya","MMR010009","Madaya","Madaya",0,0,0,0,1,1
"191","Mandalay","Pyin Oo Lwin","AREA # 090203","Sinku","MMR010010","Singu","Sinku",1,1,1,0,0,3
"192","Mandalay","Pyin Oo Lwin","AREA # 090204","Mogok","MMR010011","Mogoke","Mogok",1,0,1,2,0,4
"193","Mandalay","Pyin Oo Lwin","AREA # 090205","Thabeikkyin","MMR010012","Thabeikkyin","Thabeikkyin",0,0,0,1,0,1
"194","Mandalay","Pyin Oo Lwin","AREA # 090251","Tagaung","MMR010012","Thabeikkyin","Tagaung",NA,NA,NA,NA,NA,0
"195","Mandalay","Kyaukse","AREA # 090301","Kyaukse","MMR010013","Kyaukse","Kyaukse",0,0,0,0,0,0
"196","Mandalay","Kyaukse","AREA # 090302","Singaing","MMR010014","Sintgaing","Singaing",1,0,2,0,0,3
"197","Mandalay","Kyaukse","AREA # 090303","Myitthar","MMR010015","Myittha","Myitthar",0,1,0,2,0,3
"198","Mandalay","Kyaukse","AREA # 090304","Tada U","MMR010016","Tada-U","Tada U",NA,NA,NA,NA,NA,0
"199","Mandalay","Myingyan","AREA # 090401","Myingyan","MMR010017","Myingyan","Myingyan",2,0,0,0,0,2
"200","Mandalay","Myingyan","AREA # 090402","Taungtha","MMR010018","Taungtha","Taungtha",0,0,0,0,0,0
"201","Mandalay","Myingyan","AREA # 090403","Natogyi","MMR010019","Natogyi","Natogyi",0,0,0,0,0,0
"202","Mandalay","Nyaung U","AREA # 090404","Kyaukpadaung","MMR010020","Kyaukpadaung","Kyaukpadaung",0,0,0,0,2,2
"203","Mandalay","Myingyan","AREA # 090405","Ngazun","MMR010021","Ngazun","Ngazun",0,0,0,0,0,0
"204","Mandalay","Nyaung U","AREA # 090501","Nyaung U","MMR010022","Nyaung-U","Nyaung U",0,0,0,0,1,1
"205","Mandalay","Nyaung U","AREA # 090551","Ngathayauk","MMR010022","Nyaung-U","Ngathayauk",1,0,0,0,0,1
"206","Mandalay","Yame`thin","AREA # 090601","Yame`thin","MMR010023","Yamethin","Yame`thin",1,1,0,0,0,2
"207","Mandalay","Yame`thin","AREA # 090602","Pyawbwe","MMR010024","Pyawbwe","Pyawbwe",0,0,0,1,1,2
"208","Mandalay","Meiktila","AREA # 090701","Meiktila","MMR010028","Meiktila","Meiktila",1,0,0,0,2,3
"209","Mandalay","Meiktila","AREA # 090702","Mahlaing","MMR010029","Mahlaing","Mahlaing",0,0,0,0,0,0
"210","Mandalay","Meiktila","AREA # 090703","Thazi","MMR010030","Thazi","Thazi",0,0,0,1,1,2
"211","Mandalay","Meiktila","AREA # 090704","Wundwin","MMR010031","Wundwin","Wundwin",0,0,1,0,2,3
"212","Mon","Mawlamyine","AREA # 100101","Mawlamyine","MMR011001","Mawlamyine","Mawlamyine",0,0,0,0,1,1
"213","Mon","Mawlamyine","AREA # 100102","Kyaikemaraw","MMR011002","Kyaikmaraw","Kyaikemaraw",0,1,0,0,1,2
"214","Mon","Mawlamyine","AREA # 100103","Chaungzon","MMR011003","Chaungzon","Chaungzon",0,0,0,0,0,0
"215","Mon","Mawlamyine","AREA # 100104","Thanbyuzayat","MMR011004","Thanbyuzayat","Thanbyuzayat",0,1,2,0,0,3
"216","Mon","Mawlamyine","AREA # 100105","Mudon","MMR011005","Mudon","Mudon",0,0,0,0,1,1
"217","Mon","Mawlamyine","AREA # 100106","Ye","MMR011006","Ye","Ye",1,1,0,0,2,4
"218","Mon","Mawlamyine","AREA # 100152","Khawzar","MMR011006","Ye","Khawzar",NA,NA,NA,NA,NA,0
"219","Mon","Mawlamyine","AREA # 100151","Lamine","MMR011006","Ye","Lamine",0,0,0,0,0,0
"220","Mon","Thaton","AREA # 100201","Thaton","MMR011007","Thaton","Thaton",0,0,1,0,0,1
"221","Mon","Thaton","AREA # 100202","Paung","MMR011008","Paung","Paung",0,0,1,0,0,1
"222","Mon","Thaton","AREA # 100203","Kyaikto","MMR011009","Kyaikto","Kyaikto",1,1,0,0,1,3
"223","Mon","Thaton","AREA # 100204","Bilin","MMR011010","Bilin","Bilin",0,0,0,0,0,0
"224","Rakhine","Sittway","AREA # 110101","Sittway","MMR012001","Sittwe","Sittway",0,0,0,0,0,0
"225","Rakhine","Sittway","AREA # 110102","Ponnagyun","MMR012002","Ponnagyun","Ponnagyun",0,0,0,1,0,1
